Site,Lat,Long,Incub
Maumee Bay 2,41.70788,-83.45702,TRUE
North Erie 1,41.9639,-83.16373,TRUE
Fox River 1,44.45296,-88.07471,FALSE
Green Bay 1,44.54241,-87.99411,TRUE
Ford 1,45.67359,-87.13923,FALSE
Ford 2,45.66937,-87.13384,TRUE
Maumee Bay 1,41.74616,-83.44367,FALSE
North Erie 2,41.89411,-83.23513,FALSE
Sandusky Bay 1,41.48334,-82.78253,FALSE
Old Woman 1,41.380067,-82.512235,FALSE
